"","Player","Team","Position","Game.ID","Date","Home","Away","G","A1","A2","PTS","PrPTS","GS","SOG","eGF","eGA","GF.","PPG","PPA1","PPA2","SHG","SHA1","SHA2","FOW","FOL","PIM","Blk","TO","SV","GA","Season"
"517","Kelly Babstock","CTW","F","14814946","2016-09-02","CTW","BOS",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"518","Marissa Gedman","BOS","D","14814946","2016-09-02","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"519","Micaela Long","CTW","F","14814946","2016-09-02","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"520","Molly Engstrom","CTW","D","14814946","2016-09-02","CTW","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"521","Alyssa Gagliardi","BOS","D","14817367","2016-09-03","MET","BOS",0,2,0,2,2,1.11,0,0,0,NA,0,0,0,0,1,0,0,0,2,0,0,0,0,2015
"522","Amanda Pelkey","BOS","F","14817367","2016-09-03","MET","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
"523","Blake Bolden","BOS","D","14817367","2016-09-03","MET","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,2015
"524","Bray Ketchum","MET","F","14817367","2016-09-03","MET","BOS",0,1,0,1,1,0.47,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0,2015
"525","Brianna Decker","BOS","F","14817367","2016-09-03","MET","BOS",1,1,0,2,2,1.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"526","Brittany Ott","BOS","G","14817367","2016-09-03","MET","BOS",0,0,1,1,0,2.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,1,2015
"527","Celeste Brown","MET","F","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"528","Chelsea Laden","MET","G","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-1.8,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,30,6,2015
"529","Corinne Buie","BOS","F","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"530","Emily Field","BOS","F","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"531","Gabie Figueroa","MET","D","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"532","Gigi Marvin","BOS","D","14817367","2016-09-03","MET","BOS",1,0,1,2,1,1.58,1,0,0,NA,0,0,0,0,0,1,0,0,2,0,0,0,0,2015
"533","Hilary Knight","BOS","F","14817367","2016-09-03","MET","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"534","Jillian Dempsey","BOS","F","14817367","2016-09-03","MET","BOS",1,1,0,2,2,1.75,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"535","Jordan Smelker","BOS","F","14817367","2016-09-03","MET","BOS",0,1,1,2,1,1.11,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"536","Kelly Cooke","BOS","F","14817367","2016-09-03","MET","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
"537","Ludmila Belyakova","MET","F","14817367","2016-09-03","MET","BOS",1,0,0,1,1,0.94,1,0,0,NA,1,0,0,0,0,0,0,0,2,0,0,0,0,2015
"538","Meghan Fardelmann","MET","F","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"539","Rachel Llanes","BOS","F","14817367","2016-09-03","MET","BOS",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"540","Zoe Hickel","BOS","F","14817367","2016-09-03","MET","BOS",1,0,0,1,1,0.77,1,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"541","Alyssa Wohlfeiler","CTW","F","14817684","2016-09-03","CTW","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"542","Brianne Mclaughlin","BUF","G","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,1.34,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,31,3,2015
"543","Danielle Ward","CTW","F","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"544","Devon Skeats","BUF","F","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"545","Erin Zach","BUF","F","14817684","2016-09-03","CTW","BUF",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"546","Hailey Browne","BUF","F","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"547","Hannah McGowan","BUF","F","14817684","2016-09-03","CTW","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
"548","Hayley Williams","BUF","F","14817684","2016-09-03","CTW","BUF",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
"549","Kaleigh Fratkin","CTW","D","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,-0.51,0,0,0,NA,0,0,0,0,0,0,0,0,6,0,0,0,0,2015
"550","Kate Buesser","CTW","F","14817684","2016-09-03","CTW","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"551","Kelli Stack","CTW","F","14817684","2016-09-03","CTW","BUF",0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"552","Kelly Babstock","CTW","F","14817684","2016-09-03","CTW","BUF",0,1,1,2,1,0.94,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"553","Kelly McDonald","BUF","D","14817684","2016-09-03","CTW","BUF",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"554","Lindsay Grigg","BUF","D","14817684","2016-09-03","CTW","BUF",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
"555","Meghan Duggan","BUF","F","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"556","Micaela Long","CTW","F","14817684","2016-09-03","CTW","BUF",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"557","Molly Engstrom","CTW","D","14817684","2016-09-03","CTW","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"558","Shannon Doyle","CTW","D","14817684","2016-09-03","CTW","BUF",0,0,1,1,0,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"559","Shelby Bram","BUF","F","14817684","2016-09-03","CTW","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"560","Shenae Lundberg","CTW","G","14817684","2016-09-03","CTW","BUF",0,0,0,0,0,1.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,2,2015
"561","Bray Ketchum","MET","F","14819462","2016-09-03","MET","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"562","Brianne Mclaughlin","BUF","G","14819462","2016-09-03","MET","BUF",0,0,0,0,0,0.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,3,2015
"563","Brooke Ammerman","MET","F","14819462","2016-09-03","MET","BUF",0,2,0,2,2,1.11,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0,2015
"564","Devon Skeats","BUF","F","14819462","2016-09-03","MET","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"565","Elena Orlando","MET","D","14819462","2016-09-03","MET","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"566","Emily Pfalzer","BUF","D","14819462","2016-09-03","MET","BUF",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"567","Erin Zach","BUF","F","14819462","2016-09-03","MET","BUF",0,2,0,2,2,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"568","Hailey Browne","BUF","F","14819462","2016-09-03","MET","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"569","Hannah McGowan","BUF","F","14819462","2016-09-03","MET","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"570","Jessica Fickel","BUF","F","14819462","2016-09-03","MET","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"571","Kelley Steadman","BUF","F","14819462","2016-09-03","MET","BUF",1,0,1,2,1,1.41,1,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"572","Kiira Dosdall","MET","D","14819462","2016-09-03","MET","BUF",0,0,2,2,0,1.28,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,2015
"573","Lindsay Grigg","BUF","D","14819462","2016-09-03","MET","BUF",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"574","Ludmila Belyakova","MET","F","14819462","2016-09-03","MET","BUF",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"575","Madison Packer","MET","F","14819462","2016-09-03","MET","BUF",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"576","Megan Bozek","BUF","D","14819462","2016-09-03","MET","BUF",0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"577","Meghan Fardelmann","MET","F","14819462","2016-09-03","MET","BUF",1,0,0,1,1,0.94,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"578","Moran Fritz-Ward","MET","F","14819462","2016-09-03","MET","BUF",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"579","Nana Fujimoto","MET","G","14819462","2016-09-03","MET","BUF",0,0,0,0,0,1.9,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,35,3,2015
"580","Shelby Bram","BUF","F","14819462","2016-09-03","MET","BUF",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"581","Alyssa Gagliardi","BOS","D","14820870","2016-09-03","BOS","CTW",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"582","Brianna Decker","BOS","F","14820870","2016-09-03","BOS","CTW",1,0,1,2,1,1.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"583","Brittany Dougherty","CTW","F","14820870","2016-09-03","BOS","CTW",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"584","Brittany Ott","BOS","G","14820870","2016-09-03","BOS","CTW",0,0,0,0,0,0.1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,15,2,2015
"585","Gigi Marvin","BOS","D","14820870","2016-09-03","BOS","CTW",1,0,1,2,1,1.58,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"586","Hilary Knight","BOS","F","14820870","2016-09-03","BOS","CTW",0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"587","Jillian Dempsey","BOS","F","14820870","2016-09-03","BOS","CTW",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"588","Jordan Brickner","CTW","D","14820870","2016-09-03","BOS","CTW",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"589","Jordan Smelker","BOS","F","14820870","2016-09-03","BOS","CTW",2,1,0,3,3,2.86,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"590","Kaleigh Fratkin","CTW","D","14820870","2016-09-03","BOS","CTW",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"591","Kelli Stack","CTW","F","14820870","2016-09-03","BOS","CTW",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"592","Kelly Babstock","CTW","F","14820870","2016-09-03","BOS","CTW",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"593","Molly Engstrom","CTW","D","14820870","2016-09-03","BOS","CTW",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"594","Nicole Stock","CTW","G","14820870","2016-09-03","BOS","CTW",0,0,0,0,0,2.18,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,37,3,2015
"595","Brianna Decker","BOS","F","14821029","2016-09-03","CTW","BOS",3,1,0,4,4,3.97,3,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
"596","Brittany Ott","BOS","G","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,19,3,2015
"597","Danielle Ward","CTW","F","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"598","Emily Field","BOS","F","14821029","2016-09-03","CTW","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
"599","Hilary Knight","BOS","F","14821029","2016-09-03","CTW","BOS",1,2,0,3,3,2.22,1,0,0,NA,0,0,0,0,1,0,0,0,2,0,0,0,0,2015
"600","Jaimie Leonoff","CTW","G","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,4.26,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,59,4,2015
"601","Jillian Dempsey","BOS","F","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"602","Jordan Brickner","CTW","D","14821029","2016-09-03","CTW","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
"603","Jordan Smelker","BOS","F","14821029","2016-09-03","CTW","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"604","Kacey Bellamy","BOS","D","14821029","2016-09-03","CTW","BOS",0,1,1,2,1,1.11,0,0,0,NA,0,0,0,0,1,1,0,0,2,0,0,0,0,2015
"605","Kaleigh Fratkin","CTW","D","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"606","Kate Buesser","CTW","F","14821029","2016-09-03","CTW","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"607","Kelli Stack","CTW","F","14821029","2016-09-03","CTW","BOS",1,0,0,1,1,0.94,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"608","Kelly Babstock","CTW","F","14821029","2016-09-03","CTW","BOS",0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"609","Kelly Cooke","BOS","F","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"610","Micaela Long","CTW","F","14821029","2016-09-03","CTW","BOS",2,0,0,2,2,2.22,2,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"611","Rachel Llanes","BOS","F","14821029","2016-09-03","CTW","BOS",0,0,1,1,0,0.47,0,0,0,NA,0,0,0,0,0,1,0,0,2,0,0,0,0,2015
"612","Sam Faber","CTW","F","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"613","Zoe Hickel","BOS","F","14821029","2016-09-03","CTW","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"614","Bray Ketchum","MET","F","14822366","2016-09-03","BUF","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"615","Brianne Mclaughlin","BUF","G","14822366","2016-09-03","BUF","MET",0,0,0,0,0,2.52,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,18,0,2015
"616","Devon Skeats","BUF","F","14822366","2016-09-03","BUF","MET",0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"617","Hannah McGowan","BUF","F","14822366","2016-09-03","BUF","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"618","Hayley Williams","BUF","F","14822366","2016-09-03","BUF","MET",0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"619","Kelley Steadman","BUF","F","14822366","2016-09-03","BUF","MET",1,0,0,1,1,0.77,1,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"620","Kelly McDonald","BUF","D","14822366","2016-09-03","BUF","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"621","Kourtney Kunichika","BUF","F","14822366","2016-09-03","BUF","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"622","Megan Bozek","BUF","D","14822366","2016-09-03","BUF","MET",1,1,0,2,2,1.58,1,0,0,NA,0,1,0,0,1,0,0,0,2,0,0,0,0,2015
"623","Meghan Duggan","BUF","F","14822366","2016-09-03","BUF","MET",1,1,0,2,2,1.75,1,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,2015
"624","Nana Fujimoto","MET","G","14822366","2016-09-03","BUF","MET",0,0,0,0,0,-0.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,27,4,2015
"625","Paige Harrington","BUF","D","14822366","2016-09-03","BUF","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"626","Tatiana Rafter","BUF","F","14822366","2016-09-03","BUF","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"627","Alyssa Gagliardi","BOS","D","14822377","2016-09-03","BUF","BOS",0,0,1,1,0,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,0,0,0,2015
"628","Brianna Decker","BOS","F","14822377","2016-09-03","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"629","Brianne Mclaughlin","BUF","G","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,1.62,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,33,3,2015
"630","Brittany Ott","BOS","G","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,1.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,25,2,2015
"631","Corinne Buie","BOS","F","14822377","2016-09-03","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"632","Devon Skeats","BUF","F","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"633","Emily Pfalzer","BUF","D","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,0.12,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
"634","Erin Zach","BUF","F","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"635","Hailey Browne","BUF","F","14822377","2016-09-03","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"636","Hilary Knight","BOS","F","14822377","2016-09-03","BUF","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"637","Jillian Dempsey","BOS","F","14822377","2016-09-03","BUF","BOS",1,0,0,1,1,0.94,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"638","Kacey Bellamy","BOS","D","14822377","2016-09-03","BUF","BOS",0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"639","Lindsay Grigg","BUF","D","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"640","Marissa Gedman","BOS","D","14822377","2016-09-03","BUF","BOS",0,0,1,1,0,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"641","Megan Bozek","BUF","D","14822377","2016-09-03","BUF","BOS",0,1,1,2,1,1.11,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0,2015
"642","Meghan Duggan","BUF","F","14822377","2016-09-03","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"643","Paige Harrington","BUF","D","14822377","2016-09-03","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"644","Tatiana Rafter","BUF","F","14822377","2016-09-03","BUF","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"645","Zoe Hickel","BOS","F","14822377","2016-09-03","BUF","BOS",0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"646","Alyssa Wohlfeiler","CTW","F","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"647","Ashley Johnston","MET","D","14822707","2016-09-03","CTW","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,2015
"648","Beth Hanrahan","MET","F","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"649","Bray Ketchum","MET","F","14822707","2016-09-03","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,2015
"650","Brooke Ammerman","MET","F","14822707","2016-09-03","CTW","MET",0,2,0,2,2,1.28,0,0,0,NA,0,2,0,0,1,0,0,0,0,0,0,0,0,2015
"651","Celeste Brown","MET","F","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"652","Chelsea Laden","MET","G","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,20,3,2015
"653","Danielle Ward","CTW","F","14822707","2016-09-03","CTW","MET",1,0,1,2,1,1.58,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"654","Jordan Brickner","CTW","D","14822707","2016-09-03","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"655","Kaleigh Fratkin","CTW","D","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"656","Kelli Stack","CTW","F","14822707","2016-09-03","CTW","MET",0,2,0,2,2,1.28,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
"657","Kelly Babstock","CTW","F","14822707","2016-09-03","CTW","MET",1,0,0,1,1,0.6,1,0,0,NA,1,0,0,0,0,0,0,0,6,0,0,0,0,2015
"658","Kiira Dosdall","MET","D","14822707","2016-09-03","CTW","MET",1,0,0,1,1,0.94,1,0,0,NA,1,0,0,0,0,0,0,0,2,0,0,0,0,2015
"659","Madison Packer","MET","F","14822707","2016-09-03","CTW","MET",0,0,1,1,0,0.47,0,0,0,NA,0,0,1,0,0,0,0,0,2,0,0,0,0,2015
"660","Micaela Long","CTW","F","14822707","2016-09-03","CTW","MET",1,0,1,2,1,1.58,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"661","Molly Engstrom","CTW","D","14822707","2016-09-03","CTW","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,2015
"662","Shannon Doyle","CTW","D","14822707","2016-09-03","CTW","MET",0,0,0,0,0,-0.51,0,0,0,NA,0,0,0,0,0,0,0,0,6,0,0,0,0,2015
"663","Shenae Lundberg","CTW","G","14822707","2016-09-03","CTW","MET",0,0,0,0,0,1.22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,2,2015
"664","Shiann Darkangelo","CTW","F","14822707","2016-09-03","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"665","Alex Carpenter","BOS","F","14689392","2016-10-08","BOS","MET",1,1,0,2,2,2.44,4,2,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,2016
"666","Alexa Gruschow","MET","F","14689392","2016-10-08","BOS","MET",0,0,0,0,0,-0.01,1,0,2,0,0,0,0,0,0,0,4,5,0,0,2,0,0,2016
"667","Alexandra Bender","BOS","D","14689392","2016-10-08","BOS","MET",0,0,0,0,0,-0.17,0,2,1,0.67,0,0,0,0,0,0,0,0,2,1,1,0,0,2016
"668","Alyssa Gagliardi","BOS","D","14689392","2016-10-08","BOS","MET",0,1,0,1,1,0.97,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"669","Amanda Kessel","MET","F","14689392","2016-10-08","BOS","MET",0,2,0,2,2,1.5,2,1,2,0.33,0,1,0,0,0,0,0,0,0,0,1,0,0,2016
"670","Amanda Pelkey","BOS","F","14689392","2016-10-08","BOS","MET",0,0,0,0,0,0.11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016
"671","Ashley Johnston","MET","D","14689392","2016-10-08","BOS","MET",0,0,0,0,0,0.11,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"672","Blake Bolden","BOS","D","14689392","2016-10-08","BOS","MET",1,0,0,1,1,1.22,2,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2016
